txn_date,txns,fraud_txns,fraud_rate_pct,fraud_value,total_value,fraud_rate_7d_ma
2018-04-01,9488,3,0.032,674.07,505235.82,0.032
2018-04-02,9583,13,0.136,2474.15,504070.28,0.084
2018-04-03,9747,15,0.154,1553.43,524694.41,0.107
2018-04-04,9530,18,0.189,3853.06,507520.28,0.128
2018-04-05,9651,22,0.228,3742.7,515779.21,0.148
2018-04-06,9539,27,0.283,6164.19,507231.83,0.17
2018-04-07,9438,39,0.413,6391.08,501482.25,0.205
2018-04-08,9468,39,0.412,7652.44,506057.56,0.259
2018-04-09,9699,40,0.412,7254.46,510715.97,0.299
2018-04-10,9672,58,0.6,10974.76,525417.48,0.362
2018-04-11,9622,52,0.54,9905.19,514953.65,0.413
2018-04-12,9541,42,0.44,7820.74,508867.95,0.443
2018-04-13,9753,50,0.513,6384.94,528407.44,0.476
2018-04-14,9556,53,0.555,8870.32,515770.08,0.496
2018-04-15,9478,52,0.549,9464.71,510575.87,0.516
2018-04-16,9540,61,0.639,10304.14,511825.03,0.548
2018-04-17,9581,56,0.584,9481.53,515293.06,0.546
2018-04-18,9616,77,0.801,10005.01,507591.62,0.583
2018-04-19,9539,79,0.828,11035.13,512758.33,0.638
2018-04-20,9568,68,0.711,9286.76,512922.62,0.667
2018-04-21,9645,70,0.726,9373.84,518557.04,0.691
2018-04-22,9746,75,0.77,11088.76,527020.31,0.723
2018-04-23,9744,86,0.883,14310.38,532813.32,0.758
2018-04-24,9548,81,0.848,9943.32,511903.44,0.795
2018-04-25,9622,89,0.925,11134.39,513080.35,0.813
2018-04-26,9552,70,0.733,9537.59,506665.7,0.799
2018-04-27,9610,79,0.822,10034.07,514639.0,0.815
2018-04-28,9588,91,0.949,13366.86,519677.91,0.847
2018-04-29,9634,95,0.986,13077.2,511245.59,0.878
2018-04-30,9760,102,1.045,14752.87,516396.43,0.901
2018-05-01,9578,105,1.096,13430.4,518673.4,0.937
2018-05-02,9505,82,0.863,9157.43,507774.01,0.928
2018-05-03,9771,103,1.054,16404.77,538799.97,0.974
2018-05-04,9491,94,0.99,14258.79,515055.61,0.998
2018-05-05,9502,82,0.863,9739.81,507483.23,0.985
2018-05-06,9658,79,0.818,9860.49,519137.41,0.961
2018-05-07,9700,92,0.948,12537.83,521197.46,0.947
2018-05-08,9432,80,0.848,12249.66,513921.2,0.912
2018-05-09,9589,84,0.876,7735.67,510580.62,0.914
2018-05-10,9749,88,0.903,13195.27,523568.56,0.892
2018-05-11,9536,77,0.807,11213.82,511545.59,0.866
2018-05-12,9588,80,0.834,11790.6,515735.99,0.862
2018-05-13,9495,85,0.895,11105.61,504387.27,0.873
2018-05-14,9678,86,0.889,12308.06,511892.67,0.865
2018-05-15,9434,71,0.753,8082.11,511789.62,0.851
2018-05-16,9766,94,0.963,12177.49,523966.54,0.863
2018-05-17,9690,81,0.836,12457.11,514659.26,0.854
2018-05-18,9665,83,0.859,10095.44,515799.34,0.861
2018-05-19,9595,87,0.907,10249.94,514543.37,0.872
2018-05-20,9742,90,0.924,11599.36,522731.85,0.876
2018-05-21,9688,83,0.857,11033.43,514375.49,0.871
2018-05-22,9472,80,0.845,8587.26,502146.49,0.884
2018-05-23,9398,90,0.958,12596.17,510536.49,0.884
2018-05-24,9376,92,0.981,13410.77,501043.47,0.904
2018-05-25,9616,77,0.801,9183.95,511452.6,0.896
2018-05-26,9659,85,0.88,12875.42,517474.2,0.892
2018-05-27,9740,75,0.77,10115.83,521753.88,0.87
2018-05-28,9568,92,0.962,12682.38,510596.67,0.885
2018-05-29,9556,84,0.879,11633.12,520340.33,0.89
2018-05-30,9445,80,0.847,8537.71,502976.16,0.874
2018-05-31,9422,78,0.828,9430.84,505570.75,0.852
2018-06-01,9558,68,0.711,11398.95,514521.72,0.84
2018-06-02,9576,77,0.804,9138.76,512718.97,0.829
2018-06-03,9586,72,0.751,8360.89,516789.64,0.826
2018-06-04,9575,97,1.013,12363.6,514313.03,0.833
2018-06-05,9547,83,0.869,9973.29,514813.39,0.832
2018-06-06,9552,91,0.953,11088.58,518876.09,0.847
2018-06-07,9577,79,0.825,6696.8,507930.84,0.847
2018-06-08,9622,89,0.925,12416.3,522146.79,0.877
