part_of_day,amount_band,txns,fraud_txns,fraud_rate_pct
01 Night (00-06),01 Micro (0-25),33518,170,0.507
01 Night (00-06),02 Small (25-50),28524,168,0.589
01 Night (00-06),03 Medium (50-100),35791,216,0.604
01 Night (00-06),04 Large (100-200),15027,125,0.832
01 Night (00-06),05 High (200-220),149,6,4.027
01 Night (00-06),06 Very High (220-500),175,175,100.0
01 Night (00-06),07 Extreme (500+),40,40,100.0
02 Morning (06-12),01 Micro (0-25),97271,480,0.493
02 Morning (06-12),02 Small (25-50),82795,443,0.535
02 Morning (06-12),03 Medium (50-100),103347,625,0.605
02 Morning (06-12),04 Large (100-200),43553,395,0.907
02 Morning (06-12),05 High (200-220),446,24,5.381
02 Morning (06-12),06 Very High (220-500),526,526,100.0
02 Morning (06-12),07 Extreme (500+),98,98,100.0
03 Afternoon (12-18),01 Micro (0-25),97422,490,0.503
03 Afternoon (12-18),02 Small (25-50),82721,418,0.505
03 Afternoon (12-18),03 Medium (50-100),103617,624,0.602
03 Afternoon (12-18),04 Large (100-200),43084,402,0.933
03 Afternoon (12-18),05 High (200-220),425,35,8.235
03 Afternoon (12-18),06 Very High (220-500),470,470,100.0
03 Afternoon (12-18),07 Extreme (500+),112,112,100.0
04 Evening (18-24),01 Micro (0-25),33742,156,0.462
04 Evening (18-24),02 Small (25-50),28293,159,0.562
04 Evening (18-24),03 Medium (50-100),35969,232,0.645
04 Evening (18-24),04 Large (100-200),14982,127,0.848
04 Evening (18-24),05 High (200-220),166,12,7.229
04 Evening (18-24),06 Very High (220-500),163,163,100.0
04 Evening (18-24),07 Extreme (500+),42,42,100.0
