txn_hour,part_of_day,txns,fraud_txns,fraud_rate_pct
0,01 Night (00-06),7596,74,0.974
1,01 Night (00-06),10947,101,0.923
2,01 Night (00-06),15232,115,0.755
3,01 Night (00-06),20315,142,0.699
4,01 Night (00-06),26338,215,0.816
5,01 Night (00-06),32796,253,0.771
6,02 Morning (06-12),40157,317,0.789
7,02 Morning (06-12),47202,407,0.862
8,02 Morning (06-12),53878,415,0.77
9,02 Morning (06-12),58616,425,0.725
10,02 Morning (06-12),63493,495,0.78
11,02 Morning (06-12),64690,532,0.822
12,03 Afternoon (12-18),65328,528,0.808
13,03 Afternoon (12-18),63085,507,0.804
14,03 Afternoon (12-18),58822,453,0.77
15,03 Afternoon (12-18),53502,416,0.778
16,03 Afternoon (12-18),47070,359,0.763
17,03 Afternoon (12-18),40044,288,0.719
18,04 Evening (18-24),33237,261,0.785
19,04 Evening (18-24),26280,200,0.761
20,04 Evening (18-24),20218,162,0.801
21,04 Evening (18-24),15001,119,0.793
22,04 Evening (18-24),10950,92,0.84
23,04 Evening (18-24),7671,57,0.743
