is_fraud,bin,n
0,0,93728
1,0,457
0,10,115090
1,10,574
0,20,100640
1,20,513
0,30,90377
1,30,479
0,40,81903
1,40,459
0,50,73019
1,50,447
0,60,64044
1,60,383
0,70,55310
1,70,348
0,80,46542
1,80,278
0,90,38138
1,90,243
0,100,30755
1,100,221
0,110,24206
1,110,165
0,120,18431
1,120,142
0,130,13829
1,130,103
0,140,10270
1,140,106
0,150,7053
1,150,82
0,160,4774
1,160,75
0,170,3128
1,170,63
0,180,1941
1,180,46
0,190,1247
1,190,46
0,200,755
1,200,35
0,210,355
1,210,41
1,220,275
1,230,167
1,240,104
1,250,77
1,260,63
1,270,33
1,280,43
1,290,41
1,300,33
1,310,22
1,320,30
1,330,30
1,340,32
1,350,36
1,360,36
1,370,36
1,380,23
1,390,25
1,400,34
1,410,32
1,420,29
1,430,18
1,440,16
1,450,24
1,460,14
1,470,23
1,480,18
1,490,21
1,500,20
1,510,20
1,520,17
1,530,18
1,540,16
1,550,15
1,560,16
1,570,7
1,580,12
1,590,14
