customer_id,total_txns,total_spend,avg_txn_amount,max_txn_amount,first_seen,last_seen,fraud_txns,fraud_rate_pct,active_days,txns_per_day,value_segment,ever_compromised
0,171,10454.51,61.14,129.61,2018-04-01 07:19:05,2018-07-01 05:17:08,0,0.0,91,1.88,B - High Value,No
1,327,18811.69,57.53,362.75,2018-04-01 05:51:21,2018-07-01 15:46:26,19,5.81,92,3.55,A - Premium,Yes
2,170,13654.95,80.32,174.04,2018-04-01 00:07:56,2018-07-01 07:29:42,2,1.176,92,1.85,B - High Value,Yes
3,30,345.43,11.51,23.36,2018-04-02 17:26:51,2018-06-30 07:34:41,0,0.0,89,0.34,D - Low Value,No
4,325,26293.68,80.9,178.12,2018-04-01 05:34:23,2018-07-01 19:00:28,0,0.0,92,3.53,A - Premium,No
5,284,14298.96,50.35,121.65,2018-04-01 11:52:13,2018-07-01 22:04:47,5,1.761,92,3.09,A - Premium,Yes
6,347,6587.79,18.98,46.57,2018-04-01 13:12:36,2018-07-01 18:17:06,0,0.0,92,3.77,C - Mid Value,No
7,278,8362.67,30.08,78.36,2018-04-01 11:07:40,2018-07-01 07:30:49,0,0.0,91,3.05,B - High Value,No
8,225,1545.7,6.87,15.17,2018-04-01 01:11:00,2018-07-01 21:59:13,4,1.778,92,2.45,D - Low Value,Yes
9,208,20904.27,100.5,215.55,2018-04-02 03:34:13,2018-07-01 11:14:19,2,0.962,91,2.29,A - Premium,Yes
10,13,1638.8,126.06,738.0,2018-04-12 19:36:08,2018-06-22 15:55:36,1,7.692,71,0.18,D - Low Value,Yes
11,54,1511.52,27.99,52.49,2018-04-04 10:13:42,2018-07-01 00:30:43,0,0.0,88,0.61,D - Low Value,No
12,168,9450.64,56.25,124.25,2018-04-02 12:01:42,2018-07-01 21:26:13,0,0.0,91,1.85,B - High Value,No
13,43,1043.65,24.27,50.04,2018-04-01 11:45:09,2018-06-30 05:12:17,0,0.0,90,0.48,D - Low Value,No
14,80,4134.86,51.69,95.99,2018-04-01 12:05:40,2018-07-01 07:05:51,0,0.0,91,0.88,C - Mid Value,No
15,55,3552.76,64.6,125.6,2018-04-01 11:08:01,2018-06-30 23:00:23,0,0.0,91,0.6,C - Mid Value,No
16,36,2995.63,83.21,157.92,2018-04-07 07:37:42,2018-06-30 10:57:07,1,2.778,85,0.42,C - Mid Value,Yes
17,155,16365.07,105.58,207.21,2018-04-01 09:08:21,2018-07-01 16:35:10,2,1.29,92,1.68,A - Premium,Yes
18,13,1247.25,95.94,144.69,2018-04-03 14:27:33,2018-06-18 09:26:45,0,0.0,76,0.17,D - Low Value,No
19,27,1024.03,37.93,63.98,2018-04-02 09:46:26,2018-07-01 01:12:46,0,0.0,90,0.3,D - Low Value,No
20,255,2845.7,11.16,22.92,2018-04-01 06:43:11,2018-07-01 12:36:56,0,0.0,92,2.77,C - Mid Value,No
21,36,2114.14,58.73,139.11,2018-04-03 17:47:15,2018-07-01 04:03:26,0,0.0,89,0.4,D - Low Value,No
22,245,8618.91,35.18,89.38,2018-04-01 05:05:03,2018-07-01 22:48:40,6,2.449,92,2.66,B - High Value,Yes
23,70,2263.65,32.34,84.28,2018-04-01 06:50:50,2018-07-01 13:41:15,0,0.0,92,0.76,D - Low Value,No
24,3,204.81,68.27,111.05,2018-04-03 19:23:04,2018-05-14 13:51:25,0,0.0,41,0.07,D - Low Value,No
25,372,29016.83,78.0,161.85,2018-04-01 05:04:21,2018-07-01 15:19:44,0,0.0,92,4.04,A - Premium,No
26,223,13987.86,62.73,147.5,2018-04-01 07:35:14,2018-07-01 16:16:24,2,0.897,92,2.42,B - High Value,Yes
27,322,21308.67,66.18,533.3,2018-04-01 08:52:57,2018-07-01 23:58:48,24,7.453,92,3.5,A - Premium,Yes
28,147,12563.67,85.47,189.7,2018-04-01 04:31:00,2018-07-01 16:35:17,0,0.0,92,1.6,B - High Value,No
29,253,22644.73,89.5,204.16,2018-04-01 10:26:46,2018-07-01 14:58:36,1,0.395,92,2.75,A - Premium,Yes
30,252,24707.91,98.05,196.21,2018-04-01 02:24:40,2018-07-01 14:30:10,3,1.19,92,2.74,A - Premium,Yes
31,102,670.79,6.58,14.76,2018-04-02 07:09:57,2018-07-01 12:00:58,2,1.961,91,1.12,D - Low Value,Yes
32,174,12297.73,70.68,354.45,2018-04-01 07:28:08,2018-07-01 17:16:09,4,2.299,92,1.89,B - High Value,Yes
33,217,16035.63,73.9,500.75,2018-04-01 12:38:40,2018-07-01 11:20:49,12,5.53,91,2.38,A - Premium,Yes
34,145,9830.56,67.8,149.95,2018-04-02 11:21:14,2018-06-29 12:18:49,2,1.379,89,1.63,B - High Value,Yes
35,291,14217.17,48.86,114.35,2018-04-01 04:06:08,2018-07-01 17:07:57,0,0.0,92,3.16,B - High Value,No
36,321,4764.97,14.84,33.93,2018-04-01 03:07:18,2018-07-01 20:06:27,1,0.312,92,3.49,C - Mid Value,Yes
37,324,7002.25,21.61,122.45,2018-04-01 06:54:28,2018-07-01 08:55:22,6,1.852,92,3.52,C - Mid Value,Yes
38,304,5232.27,17.21,42.03,2018-04-01 04:00:12,2018-07-01 18:42:04,0,0.0,92,3.3,C - Mid Value,No
39,28,1064.5,38.02,69.32,2018-04-02 13:25:55,2018-06-27 22:44:33,0,0.0,87,0.32,D - Low Value,No
40,304,23002.57,75.67,183.05,2018-04-01 08:11:47,2018-07-01 07:36:10,4,1.316,91,3.34,A - Premium,Yes
41,109,814.2,7.47,53.2,2018-04-01 10:29:45,2018-07-01 14:23:55,9,8.257,92,1.18,D - Low Value,Yes
42,19,1099.65,57.88,121.62,2018-04-02 05:49:22,2018-06-28 18:20:56,0,0.0,88,0.22,D - Low Value,No
43,74,6120.97,82.72,159.85,2018-04-02 07:45:53,2018-06-28 04:11:05,0,0.0,87,0.85,C - Mid Value,No
44,10,669.01,66.9,101.59,2018-04-11 06:38:51,2018-06-01 08:14:46,0,0.0,52,0.19,D - Low Value,No
45,98,5589.12,57.03,123.79,2018-04-01 08:29:16,2018-07-01 09:40:00,0,0.0,92,1.07,C - Mid Value,No
46,174,9852.02,56.62,113.05,2018-04-01 11:28:50,2018-07-01 15:08:27,2,1.149,92,1.89,B - High Value,Yes
47,82,3889.5,47.43,106.05,2018-04-02 06:08:25,2018-07-01 12:58:34,0,0.0,91,0.9,C - Mid Value,No
