date_key,date,year,month_no,month_name,week_no,day_name,day_of_week,is_weekend
20180401,2018-04-01,2018,4,Apr 2018,13,Sunday,7,Weekend
20180402,2018-04-02,2018,4,Apr 2018,14,Monday,1,Weekday
20180403,2018-04-03,2018,4,Apr 2018,14,Tuesday,2,Weekday
20180404,2018-04-04,2018,4,Apr 2018,14,Wednesday,3,Weekday
20180405,2018-04-05,2018,4,Apr 2018,14,Thursday,4,Weekday
20180406,2018-04-06,2018,4,Apr 2018,14,Friday,5,Weekday
20180407,2018-04-07,2018,4,Apr 2018,14,Saturday,6,Weekend
20180408,2018-04-08,2018,4,Apr 2018,14,Sunday,7,Weekend
20180409,2018-04-09,2018,4,Apr 2018,15,Monday,1,Weekday
20180410,2018-04-10,2018,4,Apr 2018,15,Tuesday,2,Weekday
20180411,2018-04-11,2018,4,Apr 2018,15,Wednesday,3,Weekday
20180412,2018-04-12,2018,4,Apr 2018,15,Thursday,4,Weekday
20180413,2018-04-13,2018,4,Apr 2018,15,Friday,5,Weekday
20180414,2018-04-14,2018,4,Apr 2018,15,Saturday,6,Weekend
20180415,2018-04-15,2018,4,Apr 2018,15,Sunday,7,Weekend
20180416,2018-04-16,2018,4,Apr 2018,16,Monday,1,Weekday
20180417,2018-04-17,2018,4,Apr 2018,16,Tuesday,2,Weekday
20180418,2018-04-18,2018,4,Apr 2018,16,Wednesday,3,Weekday
20180419,2018-04-19,2018,4,Apr 2018,16,Thursday,4,Weekday
20180420,2018-04-20,2018,4,Apr 2018,16,Friday,5,Weekday
20180421,2018-04-21,2018,4,Apr 2018,16,Saturday,6,Weekend
20180422,2018-04-22,2018,4,Apr 2018,16,Sunday,7,Weekend
20180423,2018-04-23,2018,4,Apr 2018,17,Monday,1,Weekday
20180424,2018-04-24,2018,4,Apr 2018,17,Tuesday,2,Weekday
20180425,2018-04-25,2018,4,Apr 2018,17,Wednesday,3,Weekday
20180426,2018-04-26,2018,4,Apr 2018,17,Thursday,4,Weekday
20180427,2018-04-27,2018,4,Apr 2018,17,Friday,5,Weekday
20180428,2018-04-28,2018,4,Apr 2018,17,Saturday,6,Weekend
20180429,2018-04-29,2018,4,Apr 2018,17,Sunday,7,Weekend
20180430,2018-04-30,2018,4,Apr 2018,18,Monday,1,Weekday
20180501,2018-05-01,2018,5,May 2018,18,Tuesday,2,Weekday
20180502,2018-05-02,2018,5,May 2018,18,Wednesday,3,Weekday
20180503,2018-05-03,2018,5,May 2018,18,Thursday,4,Weekday
20180504,2018-05-04,2018,5,May 2018,18,Friday,5,Weekday
20180505,2018-05-05,2018,5,May 2018,18,Saturday,6,Weekend
20180506,2018-05-06,2018,5,May 2018,18,Sunday,7,Weekend
20180507,2018-05-07,2018,5,May 2018,19,Monday,1,Weekday
20180508,2018-05-08,2018,5,May 2018,19,Tuesday,2,Weekday
20180509,2018-05-09,2018,5,May 2018,19,Wednesday,3,Weekday
20180510,2018-05-10,2018,5,May 2018,19,Thursday,4,Weekday
20180511,2018-05-11,2018,5,May 2018,19,Friday,5,Weekday
20180512,2018-05-12,2018,5,May 2018,19,Saturday,6,Weekend
20180513,2018-05-13,2018,5,May 2018,19,Sunday,7,Weekend
20180514,2018-05-14,2018,5,May 2018,20,Monday,1,Weekday
20180515,2018-05-15,2018,5,May 2018,20,Tuesday,2,Weekday
20180516,2018-05-16,2018,5,May 2018,20,Wednesday,3,Weekday
20180517,2018-05-17,2018,5,May 2018,20,Thursday,4,Weekday
20180518,2018-05-18,2018,5,May 2018,20,Friday,5,Weekday
20180519,2018-05-19,2018,5,May 2018,20,Saturday,6,Weekend
20180520,2018-05-20,2018,5,May 2018,20,Sunday,7,Weekend
20180521,2018-05-21,2018,5,May 2018,21,Monday,1,Weekday
20180522,2018-05-22,2018,5,May 2018,21,Tuesday,2,Weekday
20180523,2018-05-23,2018,5,May 2018,21,Wednesday,3,Weekday
20180524,2018-05-24,2018,5,May 2018,21,Thursday,4,Weekday
20180525,2018-05-25,2018,5,May 2018,21,Friday,5,Weekday
20180526,2018-05-26,2018,5,May 2018,21,Saturday,6,Weekend
20180527,2018-05-27,2018,5,May 2018,21,Sunday,7,Weekend
20180528,2018-05-28,2018,5,May 2018,22,Monday,1,Weekday
20180529,2018-05-29,2018,5,May 2018,22,Tuesday,2,Weekday
20180530,2018-05-30,2018,5,May 2018,22,Wednesday,3,Weekday
20180531,2018-05-31,2018,5,May 2018,22,Thursday,4,Weekday
20180601,2018-06-01,2018,6,Jun 2018,22,Friday,5,Weekday
20180602,2018-06-02,2018,6,Jun 2018,22,Saturday,6,Weekend
20180603,2018-06-03,2018,6,Jun 2018,22,Sunday,7,Weekend
20180604,2018-06-04,2018,6,Jun 2018,23,Monday,1,Weekday
20180605,2018-06-05,2018,6,Jun 2018,23,Tuesday,2,Weekday
20180606,2018-06-06,2018,6,Jun 2018,23,Wednesday,3,Weekday
20180607,2018-06-07,2018,6,Jun 2018,23,Thursday,4,Weekday
