terminal_id,total_txns,total_volume,avg_txn_amount,unique_customers,fraud_txns,fraud_volume,fraud_rate_pct,risk_tier
0,79,4437.77,56.17,27,0,0.0,0.0,4 - Clean
1,85,5990.25,70.47,17,0,0.0,0.0,4 - Clean
2,88,5253.95,59.7,30,0,0.0,0.0,4 - Clean
3,80,3924.77,49.06,28,0,0.0,0.0,4 - Clean
4,76,4381.79,57.66,33,1,288.15,1.316,3 - Watch
5,71,4677.16,65.88,25,2,478.95,2.817,2 - High
6,100,5882.56,58.83,34,0,0.0,0.0,4 - Clean
7,77,5010.79,65.08,26,0,0.0,0.0,4 - Clean
8,72,3702.72,51.43,30,0,0.0,0.0,4 - Clean
9,62,3310.9,53.4,21,0,0.0,0.0,4 - Clean
10,81,3856.76,47.61,25,0,0.0,0.0,4 - Clean
11,96,4370.61,45.53,34,0,0.0,0.0,4 - Clean
12,87,4413.77,50.73,33,0,0.0,0.0,4 - Clean
13,87,5143.45,59.12,29,1,63.7,1.149,3 - Watch
14,76,3443.3,45.31,33,1,234.9,1.316,3 - Watch
15,94,4558.42,48.49,33,0,0.0,0.0,4 - Clean
16,78,4071.57,52.2,23,0,0.0,0.0,4 - Clean
17,97,5405.24,55.72,39,0,0.0,0.0,4 - Clean
18,97,4747.95,48.95,27,0,0.0,0.0,4 - Clean
19,64,2323.01,36.3,18,1,81.5,1.562,3 - Watch
20,66,3628.21,54.97,21,0,0.0,0.0,4 - Clean
21,72,3422.27,47.53,28,0,0.0,0.0,4 - Clean
22,100,4476.27,44.76,31,0,0.0,0.0,4 - Clean
23,61,4192.95,68.74,20,0,0.0,0.0,4 - Clean
24,94,5005.83,53.25,31,0,0.0,0.0,4 - Clean
25,77,3671.26,47.68,24,0,0.0,0.0,4 - Clean
26,81,4181.14,51.62,28,0,0.0,0.0,4 - Clean
27,103,4831.83,46.91,31,1,209.5,0.971,3 - Watch
28,115,5740.75,49.92,36,0,0.0,0.0,4 - Clean
29,81,5832.37,72.0,32,2,474.51,2.469,2 - High
