rank,pct_terminals,fraud_volume,cum,cum_pct
1,0.01,4421.67,4421.67,0.48
2,0.02,3629.46,8051.13,0.87
3,0.03,3206.63,11257.76,1.21
4,0.04,2791.84,14049.6,1.51
5,0.05,2572.11,16621.71,1.79
6,0.06,2524.36,19146.07,2.06
7,0.07,2351.37,21497.44,2.32
8,0.08,2316.89,23814.329999999998,2.57
9,0.09,2296.24,26110.57,2.81
10,0.1,2289.39,28399.96,3.06
11,0.11,2285.59,30685.55,3.31
12,0.12,2269.17,32954.72,3.55
13,0.13,2264.21,35218.93,3.8
14,0.14,2262.63,37481.56,4.04
15,0.15,2240.72,39722.28,4.28
16,0.16,2226.51,41948.79,4.52
17,0.17,2220.16,44168.95,4.76
18,0.18,2207.92,46376.869999999995,5.0
19,0.19,2203.0,48579.869999999995,5.24
20,0.2,2169.66,50749.53,5.47
21,0.21,2154.42,52903.95,5.7
22,0.22,2045.12,54949.07,5.92
23,0.23,2016.04,56965.11,6.14
24,0.24,2008.91,58974.020000000004,6.36
25,0.25,1989.63,60963.65,6.57
26,0.26,1986.04,62949.69,6.78
27,0.27,1963.98,64913.670000000006,7.0
28,0.28,1927.4,66841.07,7.2
29,0.29,1926.26,68767.33,7.41
30,0.3,1913.62,70680.95,7.62
31,0.31,1899.03,72579.98,7.82
32,0.32,1858.67,74438.65,8.02
33,0.33,1851.7,76290.34999999999,8.22
34,0.34,1841.05,78131.4,8.42
35,0.35,1839.62,79971.01999999999,8.62
36,0.36,1837.81,81808.82999999999,8.82
37,0.37,1827.59,83636.41999999998,9.01
38,0.38,1821.6,85458.01999999999,9.21
39,0.39,1814.11,87272.12999999999,9.41
40,0.4,1790.05,89062.18,9.6
41,0.41,1785.89,90848.06999999999,9.79
42,0.42,1778.04,92626.10999999999,9.98
43,0.43,1775.3,94401.40999999999,10.17
44,0.44,1754.07,96155.48,10.36
45,0.45,1740.91,97896.39,10.55
46,0.46,1737.35,99633.74,10.74
47,0.47,1718.31,101352.05,10.92
48,0.48,1715.76,103067.81,11.11
49,0.49,1714.2,104782.01,11.29
50,0.5,1696.18,106478.18999999999,11.48
51,0.51,1693.76,108171.94999999998,11.66
52,0.52,1686.96,109858.90999999999,11.84
53,0.53,1684.5,111543.40999999999,12.02
54,0.54,1654.34,113197.74999999999,12.2
55,0.55,1637.52,114835.26999999999,12.38
56,0.56,1630.88,116466.15,12.55
57,0.57,1621.88,118088.03,12.73
58,0.58,1614.3,119702.33,12.9
59,0.59,1612.39,121314.72,13.08
60,0.6,1612.12,122926.84,13.25
61,0.61,1591.52,124518.36,13.42
62,0.62,1585.68,126104.04,13.59
63,0.63,1583.16,127687.2,13.76
64,0.64,1569.34,129256.54,13.93
65,0.65,1552.24,130808.78,14.1
66,0.66,1547.98,132356.76,14.27
67,0.67,1547.08,133903.84,14.43
68,0.68,1529.33,135433.16999999998,14.6
69,0.69,1497.25,136930.41999999998,14.76
70,0.7,1486.46,138416.87999999998,14.92
71,0.71,1476.27,139893.14999999997,15.08
72,0.72,1458.73,141351.87999999998,15.23
73,0.73,1455.65,142807.52999999997,15.39
74,0.74,1454.88,144262.40999999997,15.55
75,0.75,1451.35,145713.75999999998,15.7
76,0.76,1451.24,147164.99999999997,15.86
77,0.77,1443.9,148608.89999999997,16.02
78,0.78,1441.46,150050.35999999996,16.17
79,0.79,1438.89,151489.24999999997,16.33
80,0.8,1436.94,152926.18999999997,16.48
81,0.81,1415.6,154341.78999999998,16.63
82,0.82,1396.48,155738.27,16.79
83,0.83,1395.76,157134.03,16.94
84,0.84,1395.29,158529.32,17.09
85,0.85,1393.89,159923.21000000002,17.24
86,0.86,1388.77,161311.98,17.39
87,0.87,1387.18,162699.16,17.54
88,0.88,1369.87,164069.03,17.68
89,0.89,1360.03,165429.06,17.83
90,0.9,1358.39,166787.45,17.98
91,0.91,1353.74,168141.19,18.12
92,0.92,1345.37,169486.56,18.27
93,0.93,1344.84,170831.4,18.41
94,0.94,1338.92,172170.32,18.56
95,0.95,1329.58,173499.9,18.7
96,0.96,1327.79,174827.69,18.84
97,0.97,1322.41,176150.1,18.99
98,0.98,1318.45,177468.55000000002,19.13
99,0.99,1313.31,178781.86000000002,19.27
100,1.0,1311.02,180092.88,19.41
101,1.01,1303.1,181395.98,19.55
102,1.02,1292.56,182688.54,19.69
103,1.03,1291.1,183979.64,19.83
104,1.04,1288.62,185268.26,19.97
105,1.05,1288.2,186556.46000000002,20.11
106,1.06,1287.93,187844.39,20.25
107,1.07,1278.08,189122.47,20.38
108,1.08,1277.35,190399.82,20.52
109,1.09,1276.49,191676.31,20.66
110,1.1,1266.1,192942.41,20.8
111,1.11,1265.65,194208.06,20.93
112,1.12,1263.4,195471.46,21.07
113,1.13,1263.2,196734.66,21.2
114,1.14,1257.97,197992.63,21.34
115,1.15,1250.25,199242.88,21.47
116,1.16,1250.04,200492.92,21.61
117,1.17,1248.5,201741.42,21.74
118,1.18,1247.77,202989.19,21.88
119,1.19,1234.4,204223.59,22.01
120,1.2,1231.56,205455.15,22.14
121,1.21,1224.16,206679.31,22.28
122,1.22,1221.0,207900.31,22.41
123,1.23,1208.65,209108.96,22.54
124,1.24,1206.38,210315.34,22.67
125,1.25,1194.3,211509.63999999998,22.8
126,1.26,1191.17,212700.81,22.92
127,1.27,1181.13,213881.94,23.05
128,1.28,1175.41,215057.35,23.18
129,1.29,1159.45,216216.80000000002,23.3
130,1.3,1157.79,217374.59000000003,23.43
131,1.31,1151.25,218525.84000000003,23.55
132,1.32,1149.69,219675.53000000003,23.68
133,1.33,1143.2,220818.73000000004,23.8
134,1.34,1131.0,221949.73000000004,23.92
135,1.35,1125.0,223074.73000000004,24.04
136,1.36,1119.15,224193.88000000003,24.16
137,1.37,1113.1,225306.98000000004,24.28
138,1.38,1103.14,226410.12000000005,24.4
139,1.39,1099.49,227509.61000000004,24.52
140,1.4,1079.25,228588.86000000004,24.64
141,1.41,1076.87,229665.73000000004,24.75
142,1.42,1073.51,230739.24000000005,24.87
143,1.43,1067.16,231806.40000000005,24.98
144,1.44,1066.8,232873.20000000004,25.1
145,1.45,1060.85,233934.05000000005,25.21
146,1.46,1054.85,234988.90000000005,25.33
147,1.47,1048.49,236037.39000000004,25.44
148,1.48,1044.04,237081.43000000005,25.55
149,1.49,1043.84,238125.27000000005,25.66
150,1.5,1039.3,239164.57000000004,25.78
151,1.51,1030.29,240194.86000000004,25.89
152,1.52,1027.43,241222.29000000004,26.0
153,1.53,1025.85,242248.14000000004,26.11
154,1.54,1024.17,243272.31000000006,26.22
155,1.55,1023.35,244295.66000000006,26.33
156,1.56,1019.7,245315.36000000007,26.44
157,1.57,1008.85,246324.21000000008,26.55
158,1.58,1005.2,247329.4100000001,26.66
159,1.59,1002.75,248332.1600000001,26.76
160,1.6,1000.45,249332.6100000001,26.87
161,1.61,1000.13,250332.7400000001,26.98
162,1.62,996.55,251329.2900000001,27.09
163,1.63,996.2,252325.4900000001,27.2
164,1.64,994.65,253320.1400000001,27.3
165,1.65,990.3,254310.4400000001,27.41
166,1.66,987.44,255297.8800000001,27.52
167,1.67,983.89,256281.7700000001,27.62
168,1.68,979.4,257261.1700000001,27.73
169,1.69,968.75,258229.9200000001,27.83
170,1.7,967.3,259197.2200000001,27.94
171,1.71,965.35,260162.5700000001,28.04
172,1.72,960.4,261122.9700000001,28.14
173,1.73,948.8,262071.77000000008,28.25
174,1.74,948.56,263020.3300000001,28.35
175,1.75,947.4,263967.7300000001,28.45
176,1.76,944.29,264912.0200000001,28.55
177,1.77,943.7,265855.7200000001,28.65
178,1.78,942.9,266798.6200000001,28.76
179,1.79,934.65,267733.27000000014,28.86
180,1.8,934.6,268667.8700000001,28.96
181,1.81,929.55,269597.4200000001,29.06
182,1.82,923.15,270520.5700000001,29.16
183,1.83,922.1,271442.6700000001,29.26
184,1.84,920.93,272363.6000000001,29.35
185,1.85,920.16,273283.76000000007,29.45
186,1.86,917.94,274201.70000000007,29.55
187,1.87,915.85,275117.55000000005,29.65
188,1.88,905.62,276023.17000000004,29.75
189,1.89,901.8,276924.97000000003,29.85
190,1.9,900.05,277825.02,29.94
191,1.91,898.45,278723.47000000003,30.04
192,1.92,897.93,279621.4,30.14
193,1.93,896.92,280518.32,30.23
194,1.94,893.65,281411.97000000003,30.33
195,1.95,892.5,282304.47000000003,30.43
196,1.96,885.65,283190.12000000005,30.52
197,1.97,883.9,284074.0200000001,30.62
198,1.98,883.35,284957.37000000005,30.71
199,1.99,880.1,285837.47000000003,30.81
200,2.0,879.4,286716.87000000005,30.9
201,2.01,877.12,287593.99000000005,31.0
202,2.02,876.63,288470.62000000005,31.09
203,2.03,874.37,289344.99000000005,31.19
204,2.04,868.21,290213.20000000007,31.28
205,2.05,852.15,291065.3500000001,31.37
206,2.06,851.95,291917.3000000001,31.46
207,2.07,851.73,292769.0300000001,31.55
208,2.08,850.95,293619.9800000001,31.65
209,2.09,849.72,294469.70000000007,31.74
