threshold,txns_flagged,frauds_caught,false_positives,recall_pct,precision_pct,loss_prevented,operating_cost,residual_loss,net_benefit
20,672619,5902,666717,85.13,0.88,687423.24,10018461.0,11263.51,-9342301.27
30,571466,5389,566077,77.73,0.94,677838.69,8507322.0,24042.91,-7853526.22
40,480610,4910,475700,70.82,1.02,665231.76,7150230.0,40852.15,-6525850.39
50,398248,4451,393797,64.2,1.12,649796.79,5920308.0,61432.11,-5331943.32
60,324782,4004,320778,57.75,1.23,631355.05,4823682.0,86021.09,-4278348.04
70,260355,3621,256734,52.23,1.39,612730.4,3861873.0,110853.97,-3359996.58
80,204697,3273,201424,47.21,1.6,593140.94,3031179.0,136973.25,-2575011.31
90,157877,2995,154882,43.2,1.9,575446.18,2332215.0,160566.26,-1917335.08
100,119496,2752,116744,39.69,2.3,558191.72,1759416.0,183572.21,-1384796.49
110,88520,2531,85989,36.51,2.86,540802.03,1297428.0,206758.46,-963384.43
120,64149,2366,61783,34.13,3.69,526607.04,933843.0,225685.11,-632921.07
130,45576,2224,43352,32.08,4.88,513296.07,656952.0,243433.07,-387089.0
140,31644,2121,29523,30.59,6.7,502906.02,449208.0,257286.47,-203588.45
150,21268,2015,19253,29.06,9.47,491358.38,294840.0,272683.33,-76164.95
160,14133,1933,12200,27.88,13.68,481847.8,188799.0,285364.09,7684.71
170,9284,1858,7426,26.8,20.01,472570.99,116964.0,297733.18,57873.81
180,6093,1795,4298,25.89,29.46,464317.63,69855.0,308737.66,85724.97
190,4106,1749,2357,25.23,42.6,457927.27,40602.0,317258.13,100067.14
200,2813,1703,1110,24.56,60.54,451211.23,21759.0,326212.86,103239.37
210,2023,1668,355,24.06,82.45,445800.17,10329.0,333427.6,102043.57
220,1627,1627,0,23.47,100.0,439213.38,4881.0,342209.99,92122.39
230,1352,1352,0,19.5,100.0,392920.3,4056.0,403934.09,-15069.78
240,1185,1185,0,17.09,100.0,363541.64,3555.0,443105.64,-83119.0
250,1081,1081,0,15.59,100.0,344476.92,3243.0,468525.27,-127291.35
260,1004,1004,0,14.48,100.0,329760.11,3012.0,488147.68,-161399.57
270,941,941,0,13.57,100.0,317244.73,2823.0,504834.86,-190413.13
280,908,908,0,13.1,100.0,310457.58,2724.0,513884.39,-206150.81
290,865,865,0,12.48,100.0,301265.01,2595.0,526141.15,-227471.14
300,824,824,0,11.89,100.0,292210.93,2472.0,538213.26,-248474.33
310,791,791,0,11.41,100.0,284648.32,2373.0,548296.74,-266021.42
320,769,769,0,11.09,100.0,279451.01,2307.0,555226.48,-278082.47
330,739,739,0,10.66,100.0,272150.17,2217.0,564960.93,-295027.75
340,709,709,0,10.23,100.0,264622.57,2127.0,574997.73,-312502.16
350,677,677,0,9.76,100.0,256359.49,2031.0,586015.18,-331686.69
360,641,641,0,9.25,100.0,246763.69,1923.0,598809.58,-353968.89
370,605,605,0,8.73,100.0,236921.74,1815.0,611932.18,-376825.44
380,569,569,0,8.21,100.0,226787.03,1707.0,625445.13,-400365.1
390,546,546,0,7.88,100.0,220164.19,1638.0,634275.58,-415749.39
400,521,521,0,7.51,100.0,212747.59,1563.0,644164.38,-432979.79
410,487,487,0,7.02,100.0,202420.05,1461.0,657934.43,-456975.38
420,455,455,0,6.56,100.0,192460.65,1365.0,671213.63,-480117.98
430,426,426,0,6.14,100.0,183218.59,1278.0,683536.38,-501595.79
440,408,408,0,5.88,100.0,177342.68,1224.0,691370.93,-515252.25
450,392,392,0,5.65,100.0,172002.67,1176.0,698490.93,-527664.25
460,368,368,0,5.31,100.0,163801.16,1104.0,709426.28,-546729.12
470,354,354,0,5.11,100.0,158929.65,1062.0,715921.63,-558053.98
480,331,331,0,4.77,100.0,150739.88,993.0,726841.33,-577094.46
490,313,313,0,4.51,100.0,144190.42,939.0,735573.93,-592322.51
500,292,292,0,4.21,100.0,136382.7,876.0,745984.23,-610477.53
510,272,272,0,3.92,100.0,128797.72,816.0,756097.53,-628115.81
520,252,252,0,3.63,100.0,121058.51,756.0,766416.48,-646113.97
530,235,235,0,3.39,100.0,114362.47,705.0,775344.53,-661687.06
540,217,217,0,3.13,100.0,107144.06,651.0,784969.08,-678476.02
550,201,201,0,2.9,100.0,100584.83,603.0,793714.73,-693732.91
560,186,186,0,2.68,100.0,94348.5,558.0,802029.83,-708239.33
570,170,170,0,2.45,100.0,87566.74,510.0,811072.18,-724015.44
580,163,163,0,2.35,100.0,84554.92,489.0,815087.93,-731022.01
590,151,151,0,2.18,100.0,79288.88,453.0,822109.33,-743273.45
600,137,137,0,1.98,100.0,73039.99,411.0,830441.18,-757812.19
