terminal_id,total_txns,fraud_txns,fraud_rate_pct,fraud_volume,unique_customers,risk_tier
293,154,55,35.714,4421.67,42,1 - Critical
3644,113,58,51.327,3629.46,40,1 - Critical
3104,116,44,37.931,3206.63,35,1 - Critical
5158,151,47,31.126,2791.84,44,1 - Critical
1244,107,58,54.206,2572.11,37,1 - Critical
3465,98,34,34.694,2524.36,32,1 - Critical
7151,127,40,31.496,2351.37,42,1 - Critical
4876,112,42,37.5,2316.89,35,1 - Critical
9415,100,36,36.0,2296.24,31,1 - Critical
1603,119,35,29.412,2289.39,40,1 - Critical
1208,81,28,34.568,2285.59,27,1 - Critical
9052,93,40,43.011,2269.17,33,1 - Critical
9102,88,34,38.636,2264.21,34,1 - Critical
9355,110,30,27.273,2262.63,36,1 - Critical
9426,92,28,30.435,2240.72,30,1 - Critical
8713,96,32,33.333,2226.51,35,1 - Critical
2516,106,38,35.849,2220.16,35,1 - Critical
4771,86,29,33.721,2207.92,33,1 - Critical
6088,151,42,27.815,2203.0,42,1 - Critical
5182,101,34,33.663,2169.66,34,1 - Critical
7878,114,33,28.947,2154.42,31,1 - Critical
1783,174,47,27.011,2045.12,41,1 - Critical
5095,88,29,32.955,2016.04,23,1 - Critical
1687,100,32,32.0,2008.91,34,1 - Critical
3850,127,36,28.346,1989.63,42,1 - Critical
1348,93,27,29.032,1986.04,28,1 - Critical
9394,110,35,31.818,1963.98,26,1 - Critical
2688,95,29,30.526,1927.4,31,1 - Critical
7272,95,32,33.684,1926.26,27,1 - Critical
6553,104,32,30.769,1913.62,34,1 - Critical
9953,96,32,33.333,1899.03,38,1 - Critical
6377,90,29,32.222,1858.67,30,1 - Critical
3880,123,39,31.707,1851.7,33,1 - Critical
708,165,4,2.424,1841.05,41,2 - High
1764,82,28,34.146,1839.62,28,1 - Critical
2985,84,29,34.524,1837.81,28,1 - Critical
1446,105,27,25.714,1827.59,37,1 - Critical
6656,113,31,27.434,1821.6,34,1 - Critical
5185,125,44,35.2,1814.11,34,1 - Critical
5667,95,30,31.579,1790.05,27,1 - Critical
4941,75,26,34.667,1785.89,30,1 - Critical
5672,80,27,33.75,1778.04,29,1 - Critical
2037,105,37,35.238,1775.3,33,1 - Critical
2293,74,29,39.189,1754.07,23,1 - Critical
7082,84,30,35.714,1740.91,27,1 - Critical
5927,98,30,30.612,1737.35,28,1 - Critical
1977,72,26,36.111,1718.31,30,1 - Critical
6252,87,29,33.333,1715.76,36,1 - Critical
8193,102,3,2.941,1714.2,35,2 - High
4629,109,34,31.193,1696.18,35,1 - Critical
470,87,34,39.08,1693.76,32,1 - Critical
1921,100,30,30.0,1686.96,38,1 - Critical
1847,100,17,17.0,1684.5,32,1 - Critical
1048,84,29,34.524,1654.34,29,1 - Critical
937,96,27,28.125,1637.52,30,1 - Critical
8958,104,33,31.731,1630.88,39,1 - Critical
7054,79,23,29.114,1621.88,16,1 - Critical
9184,88,27,30.682,1614.3,28,1 - Critical
5581,93,30,32.258,1612.39,32,1 - Critical
9745,96,32,33.333,1612.12,34,1 - Critical
522,86,35,40.698,1591.52,29,1 - Critical
2082,70,27,38.571,1585.68,29,1 - Critical
8404,94,29,30.851,1583.16,27,1 - Critical
4132,106,32,30.189,1569.34,39,1 - Critical
4345,106,36,33.962,1552.24,34,1 - Critical
2574,92,22,23.913,1547.98,33,1 - Critical
2836,79,30,37.975,1547.08,22,1 - Critical
1042,83,27,32.53,1529.33,32,1 - Critical
1196,77,28,36.364,1497.25,34,1 - Critical
5444,101,29,28.713,1486.46,31,1 - Critical
739,95,28,29.474,1476.27,29,1 - Critical
367,76,18,23.684,1458.73,31,1 - Critical
3472,66,23,34.848,1455.65,22,1 - Critical
7868,72,29,40.278,1454.88,26,1 - Critical
2859,94,2,2.128,1451.35,32,2 - High
4492,75,22,29.333,1451.24,26,1 - Critical
